,query,hand_ts
0,q1 hyper,56.488
1,q3 hyper,70.609
2,q6 hyper,16.53
3,q18 hyper,154.97
4,q1.1 hyper,53.68899999999999
5,q2.1 hyper,91.76
6,q3.1 hyper,74.509
7,q4.1 hyper,86.447
