,query,notlazyts1,notlazyts2,lazyts1,lazyts2,naivets1,naivets2
0,equals,120.643115942029,120.4249547920434,135.6313645621181,133.9939637826962,16.586550435865504,16.570042299079375
1,copy,95.13571428571429,94.72972972972974,97.21897810218978,96.79505813953489,8.174174542776482,8.17016317016317
2,lowercase,6.105711928119557,6.103473558793877,78.25499412455935,77.7071178529755,5.8085477540340165,5.8070282525287755
3,uppercase,6.386171845032606,6.384335154826958,97.50366032210835,97.07725947521865,7.089854146704993,7.0875904640272465
4,substring,20.836983729662077,20.830466061933063,190.81661891117477,189.72934472934475,8.545489541896572,8.545489541896572
5,reverse,6.6125508886903,6.610581695453644,84.19089759797724,83.55708908406524,2.472158289405301,2.472158289405301
6,concat,5.873610866113953,5.8710217755443885,57.55834053586863,56.967493584260055,8.213492846571288,8.213492846571288
7,split,5.362348015138095,5.359758551307847,56.00925147182505,55.72803347280335,5.279869975422184,5.278614457831325
